id,name,quantity,category,store,price,img,link
1,Set de cubiertos,1,Cocina,IKEA,,,https://www.ikea.com/co/es/p/foernuft-set-cubiertos-24-piezas-acero-inoxidable-70014999/
2,Estante condimentero - Álamo,2,Cocina,IKEA,,,https://www.ikea.com/co/es/p/bekvaem-estante-condimentero-alamo-20487175/
3,Repisa portacuadros - Blanca - 55 cm,1,Sala,IKEA,,,https://www.ikea.com/co/es/p/mosslanda-repisa-portacuadros-blanco-40291766/
4,Repisa portacuadros - Blanca - 115 cm,1,Sala,IKEA,,,https://www.ikea.com/co/es/p/mosslanda-repisa-portacuadros-blanco-90292103/
5,Batidor con mango de bambú,1,Cocina,IKEA,,,https://www.ikea.com/co/es/p/vardagen-batidor-acero-inoxidable-haya-10581480/
6,Juego de posa ollas pequeños,1,Cocina,IKEA,,,https://www.ikea.com/co/es/p/heat-posa-ollas-corcho-87077700/
7,Posa ollas grande,1,Cocina,IKEA,,,https://www.ikea.com/co/es/p/heat-posa-ollas-cafe-oscuro-20602726/
8,Repisa organizadora,3,Cocina,IKEA,,,https://www.ikea.com/co/es/p/variera-repisa-para-vajilla-blanco-80136622/
9,Jabonera - Beige,2,Baño,IKEA,,,https://www.ikea.com/co/es/p/ekoln-dispensador-jabon-beige-60493004/
10,Cepillo colgante - Beige,2,Baño,IKEA,,,https://www.ikea.com/co/es/p/florsjoen-cepillo-para-bano-beige-30594085/
11,Camino de mesa - Beige,1,Sala,IKEA,,,https://www.ikea.com/co/es/p/svartsenap-camino-de-mesa-beige-40533063/
12,Individual - Beige,6,Sala,IKEA,,,https://www.ikea.com/co/es/p/svartsenap-individual-beige-70527961/
13,Juego de limpiones - Verde,1,Cocina,IKEA,,,https://www.ikea.com/co/es/p/sandviva-limpion-verde-blanco-50587885/
14,Tazón grande - Blanco,1,Cocina,IKEA,,,https://www.ikea.com/co/es/p/oftast-tazon-bowl-blanco-20439392/
15,Tazón melamina pequeño - Gris,3,Cocina,Casaideas,,,https://www.casaideas.com.co/bowl-cereal-melamina-colecc-blanco-plus-casa-comedor-3226345000018/p
16,Plato melamina pequeño - Gris,3,Cocina,Casaideas,,,https://www.casaideas.com.co/plato-pan-melamina-colecc-blanco-plus-casa-comedor-3226343000010/p
17,Posa cucharas - Verde,2,Cocina,Casaideas,,,https://www.casaideas.com.co/posacuchara-silico--verde-cactaceo--0002-casa-cocina/p
18,Set de clips para bolsas,1,Cocina,Casaideas,,,https://www.casaideas.com.co/s-24-pinzas-sellabolsas--0009-casa-cocina/p
19,Basurero - Beige,2,Baño,Casaideas,,,https://www.casaideas.com.co/papelero-metal-bambu-3lt--beige--0001-casabano/p
20,Canasta de ropa - Verde,1,Lavadero,Casaideas,,,https://www.casaideas.com.co/canasto-45l-plast-fl--verde-oscuro--0001-multicolor-casa---cocina_3230541000017/p
21,Gramera,1,Cocina,NA,,,
22,Juego de tazas medidoras,1,Cocina,Dollar City,"$18,000",,
23,Bowl de acero mediano,1,Cocina,Dollar City,,,
24,Bowl de acero pequeño,1,Cocina,Dollar City,,,
25,Jarra medidora,1,Cocina,NA,,,
26,Pinzas silicona - Beige,4,Cocina,Éxito,,,
27,Colador metálico,1,Cocina,NA,,,
28,Exprimidor de limones,1,Cocina,NA,,,
29,Mesa de planchar,1,Lavadero,NA,,,
30,Destapador,1,Cocina,NA,,,
31,Rallador,1,Cocina,NA,,,
32,Abre latas,1,Cocina,NA,,,
33,Juego de especieros con tapa de bambú,2,Cocina,Dollar City,"$12,000",,
34,Tijeras de cocina,1,Cocina,Dollar City,"$10,000",,
35,Botella de aceite,1,Cocina,Dollar City,"$7,000",,
36,Frasco de vidrio grande con tapa de bambú,2,,Dollar City,,,
37,Frasco de vidrio mediano con tapa de bambú,2,,Dollar City,,,
38,Botella de aceite y vinagre,1,,Dollar City,,,
39,Juego de 3 copas de vino,2,,Éxito,"$27,600",,
40,Chocolatera,1,,NA,,,